Cidade;Escola;SegmentoRespondente;AnoDaAvaliacao;Questao;Resposta;QuantidadeDeRespostas
CAMPO GRANDE;EE WALDEMIR BARROS DA SILVA;Estudantes;2018;Possui livros para pesquisa e leitura na sua casa;Não;40
IVINHEMA;EE REYNALDO MASSI;Pais ou Responsáveis;2018;Tempo que o estudante pelo qual você é responsável  estuda nesta escola;De 4 a 6 anos;22
CAMPO GRANDE;EE JOAQUIM MURTINHO;Professores;2018;Você se considera;Pardo;29
DOURADOS;EE PROFª FLORIANA LOPES;Coordenadores Técnicos;2018;Exerce esta função;De 1 a 3 anos;2
GLÓRIA DE DOURADOS;EE PROFESSORA EUFROSINA PINTO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;func publico;1
NAVIRAÍ;EE VINÍCIUS DE MORAES;Coordenadores Pedagógicos;2018;Trabalha nesta escola;Há mais de 6 anos;4
APARECIDA DO TABOADO;EE GEORGINA DE OLIVEIRA ROCHA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Caixa de supermercado;1
CAMPO GRANDE;EE JOSÉ MARIA HUGO RODRIGUES;Pais ou Responsáveis;2018;Tempo que disponibiliza por dia para estudar com o estudante pelo qual você é responsável;Não estuda com seu dependente;180
CAMPO GRANDE;EE GENERAL MALAN;Professores;2018;Idade;Mais de 50 anos;9
PEDRO GOMES;EE FRANCISCO RIBEIRO SOARES;Pais ou Responsáveis;2018;Idade;Menos de 25 anos;8
CAMPO GRANDE;EE PROF. SEVERINO DE QUEIROZ;Funcionários Administrativos;2018;Sexo;Feminino;8
DOURADOS;EE INDÍGENA DE EM INT. GUATEKA - MARÇAL DE SOUZA;Avaliadores externos;2018;Exerce esta função;De 1 a 3 anos;1
DOURADOS;EE PRES. TANCREDO NEVES;Estudantes;2018;Possui computador em casa;Sim;262
NAVIRAÍ;EE JURACY ALVES CARDOSO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Recepcionista;3
TRÊS LAGOAS;EE FERNANDO CORRÊA;Professores;2018;Idade;Mais de 50 anos;8
CAMPO GRANDE;EE PROFª HILDA DE SOUZA FERREIRA;Estudantes;2018;Estuda nesta escola;De 6 a 8 anos;6
DOURADOS;EE ANTÔNIA DA SILVEIRA CAPILÉ;Estudantes;2018;Possui livros para pesquisa e leitura na sua casa;Sim;79
BONITO;EE BONIFÁCIO CAMARGO GOMES;Professores;2018;Licenciatura;História;4
MIRANDA;EE CAETANO PINTO;Pais ou Responsáveis;2018;Idade;31 a 35 anos;14
PONTA PORÃ;EE DR MIGUEL MARCONDES ARMANDO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;tecnico em enfermagem;1
CASSILÂNDIA;EE SÃO JOSÉ;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;atendente;1
CHAPADÃO DO SUL;EE JORGE AMADO;Avaliadores externos;2018;Sexo;Masculino;1
NAVIRAÍ;EE ANTONIO FERNANDES;Estudantes;2018;Estuda nesta escola;De 4 a 6 anos;22
TRÊS LAGOAS;EE FERNANDO CORRÊA;Funcionários Administrativos;2018;Exerce esta função;De 1 a 3 anos;2
CAMPO GRANDE;EE OLINDA CONCEIÇÃO TEIXEIRA BACHA;Pais ou Responsáveis;2018;Sexo;Feminino;203
CAARAPÓ;EE ARCÊNIO ROJAS;Pais ou Responsáveis;2018;Idade;36 a 40 anos;15
CAMPO GRANDE;EE VESPASIANO MARTINS;Coordenadores Técnicos;2018;Pós-Graduação;Especialização;1
CORUMBÁ;EE DR. JOÃO LEITE DE BARROS;Pais ou Responsáveis;2018;Idade;46 a 50 anos;12
DOURADOS;EE RAMONA DA SILVA PEDROSO;Professores;2018;Você se considera;Branco;31
RIO BRILHANTE;EE PROFESSORA LIGIA TEREZINHA MARTINS;Estudantes;2018;Você se considera;Indígena;3
ANASTÁCIO;EE ROBERTO SCAFF;Pais ou Responsáveis;2018;Formação;Ensino Superior;3
CORUMBÁ;EE CARLOS DE CASTRO BRASIL;Pais ou Responsáveis;2018;Você se considera;Branco;17
ITAPORÃ;EE ANTÔNIO JOÃO RIBEIRO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;mecanico;1
ANASTÁCIO;EE INDÍGENA GUILHERMINA DA SILVA;Estudantes;2018;Estuda nesta escola;Há menos de um ano;25
IVINHEMA;EE SENADOR FILINTO MULLER;Diretores Adjuntos;2018;Exerce esta função;De 1 a 3 anos;1
IGUATEMI;EE PAULO FREIRE;Pais ou Responsáveis;2018;Formação;Ensino Superior (Incompleto);1
NOVA ANDRADINA;EE PROFESSORA FÁTIMA GAIOTTO SAMPAIO;Professores;2018;Licenciatura;Educação Física;4
CAMPO GRANDE;EE DOLOR FERREIRA DE ANDRADE;Diretores;2018;Pós-Graduação;Especialização;1
CAMPO GRANDE;EE CORAÇÃO DE MARIA;Estudantes;2018;Idade;16 a 20 anos;98
CAARAPÓ;EE TENENTE AVIADOR ANTÔNIO JOÃO;Estudantes;2018;Idade;16 a 20 anos;2
ANASTÁCIO;EE INDÍGENA GUILHERMINA DA SILVA;Funcionários Administrativos;2018;Exerce esta função;Há mais de 6 anos;5
CAARAPÓ;EE PROF. JOAQUIM ALFREDO SOARES VIANNA;Coordenadores Pedagógicos;2018;Licenciatura;Pedagogia;2
DOURADOS;EE VILMAR VIEIRA MATOS;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Biomédica;1
CASSILÂNDIA;EE SÃO JOSÉ;Funcionários Administrativos;2018;Formação;Ensino Fundamental (Incompleto);2
NAVIRAÍ;EE EURICO GASPAR DUTRA;Professores;2018;Licenciatura;Química;2
CAMPO GRANDE;EE HÉRCULES MAYMONE;Coordenadores Técnicos;2018;Trabalha nesta escola;Há mais de 6 anos;1
NAVIRAÍ;EE JURACY ALVES CARDOSO;Estudantes;2018;Ano escolar;8º ano do Ensino Fundamental;23
PEDRO GOMES;EE FRANCISCO RIBEIRO SOARES;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;atendente caixa;1
TRÊS LAGOAS;EE JOÃO PONCE DE ARRUDA;Estudantes;2018;Ano escolar;9º ano do Ensino Fundamental;31
VICENTINA;EE PADRE JOSÉ DANIEL;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;professor;4
APARECIDA DO TABOADO;EE ERNESTO RODRIGUES;Professores;2018;Pós-Graduação;Especialização;45
DOURADOS;EE RITA ANGELINA BARBOSA SILVEIRA;Professores;2018;Você leciona em;Uma escola;16
LADÁRIO;EE 2 DE SETEMBRO;Coordenadores Pedagógicos;2018;Exerce esta função;De 1 a 3 anos;2
TRÊS LAGOAS;EE AFONSO PENA;Funcionários Administrativos;2018;Idade;46 a 50 anos;3
ITAQUIRAÍ;EE LEOPOLDO DALMOLIN;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;conzinheira;1
CAMPO GRANDE;EE ZAMENHOF;Funcionários Administrativos;2018;Você se considera;Pardo;3
CAMPO GRANDE;CEEJA - PROFª IGNÊS DE LAMÔNICA GUIMARÃES - MS;Estudantes;2018;Ano escolar;EJA - Ensino Fundamental;74
DOURADOS;EE PROF. CELSO MULLER DO AMARAL;Professores;2018;Você leciona em;Três escolas;6
CAMPO GRANDE;EE RIACHUELO;Pais ou Responsáveis;2018;Você se considera;Amarelo;1
CAMPO GRANDE;EE GENERAL MALAN;Professores;2018;Pós-Graduação;Especialização (Incompleto);2
CAMPO GRANDE;EE PROF. EMYGDIO CAMPOS WIDAL;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;gerente de manutenção;1
CAARAPÓ;EE PROF. JOAQUIM ALFREDO SOARES VIANNA;Pais ou Responsáveis;2018;Tempo que o estudante pelo qual você é responsável  estuda nesta escola;Há mais de 8 anos;3
ANASTÁCIO;EE ROBERTO SCAFF;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Assistente Social;1
CAMPO GRANDE;EE LUISA VIDAL BORGES DANIEL;Pais ou Responsáveis;2018;Formação;Ensino Médio;12
RIO VERDE DE MATO GROSSO;EE THOMAZ BARBOSA RANGEL;Coordenadores Pedagógicos;2018;Idade;41 a 45 anos;1
CAMPO GRANDE;EE PROFª. CLARINDA MENDES DE AQUINO;Pais ou Responsáveis;2018;Grau de parentesco com o estudante pelo qual você é responsável;Sobrinho(a);8
CAMPO GRANDE;EE PROF. EMYGDIO CAMPOS WIDAL;Estudantes;2018;Ano escolar;2º ano do Ensino Médio;63
NAVIRAÍ;EE JURACY ALVES CARDOSO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Operador de maquinas pesadas;1
TRÊS LAGOAS;EE FERNANDO CORRÊA;Pais ou Responsáveis;2018;Formação;Ensino Superior;37
DOIS IRMÃOS DO BURITI;EE ESTEFANA CENTURION GAMBARRA;Diretores Adjuntos;2018;Formação;Ensino Superior;1
BATAGUASSU;EE PROFESSOR BRAZ SINIGÁGLIA;Professores;2018;Pós-Graduação;Não possui;10
DOURADOS;EE CASTRO ALVES;Professores;2018;Você leciona em;Três escolas;6
VICENTINA;EE PADRE JOSÉ DANIEL;Pais ou Responsáveis;2018;Grau de parentesco com o estudante pelo qual você é responsável;Irmã(o);1
AQUIDAUANA;EE INDÍGENA DE EM PASTOR REGINALDO MIGUEL - HOYENÓ O;Diretores;2018;Formação;Ensino Superior;1
NAVIRAÍ;EE EURICO GASPAR DUTRA;Professores;2018;Você se considera;Preto;2
DOURADOS;EE CASTRO ALVES;Professores;2018;Trabalha nesta escola;Há mais de 6 anos;21
CAMPO GRANDE;EE ANTÔNIO DELFINO PEREIRA;Funcionários Administrativos;2018;Você se considera;Pardo;6
TRÊS LAGOAS;EE JOÃO PONCE DE ARRUDA;Professores;2018;Exerce esta função;Há mais de 6 anos;29
CAMPO GRANDE;EE PROFª HILDA DE SOUZA FERREIRA;Coordenadores Pedagógicos;2018;Informe o bacharelado;Ciências biológicas;1
CAMPO GRANDE;EE RUI BARBOSA;Estudantes;2018;Ano escolar;2º ano do Ensino Médio;16
CAMPO GRANDE;EE MAESTRO FREDERICO LIEBERMANN;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;motorista de aplicativo;1
BONITO;EE BONIFÁCIO CAMARGO GOMES;Funcionários Administrativos;2018;Informe qual função exerce nessa unidade escolar;Gestor em Atividades Educacionais;1
PARANAÍBA;EE ARACILDA CÍCERO CORRÊA DA COSTA;Coordenadores Pedagógicos;2018;Trabalha nesta escola;Há mais de 6 anos;2
NOVA ANDRADINA;EEPROFª NAIR PALÁCIO DE SOUZA;Secretários Escolares;2018;Exerce esta função;Há mais de 6 anos;1
CAMPO GRANDE;EE RIACHUELO;Coordenadores Pedagógicos;2018;Licenciatura;Geografia;1
DOURADOS;EE RITA ANGELINA BARBOSA SILVEIRA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;alciliar accio;1
CAMPO GRANDE;EE NICOLAU FRAGELLI;Coordenadores Pedagógicos;2018;Trabalha nesta escola;Há menos de um ano;1
ÁGUA CLARA;EE CHICO MENDES;Coordenadores Pedagógicos;2018;Idade;31 a 35 anos;1
CAMPO GRANDE;EE JOSÉ MARIA HUGO RODRIGUES;Funcionários Administrativos;2018;Você se considera;Pardo;18
TRÊS LAGOAS;EE FERNANDO CORRÊA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;engenheiro mecanico;1
DOURADOS;EE RAMONA DA SILVA PEDROSO;Coordenadores Técnicos;2018;Exerce esta função;Há menos de um ano;1
DOURADOS;EE PROFª FLORIANA LOPES;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Enfermeira;1
MARACAJU;EE PADRE CONSTANTINO DE MONTE;Funcionários Administrativos;2018;Formação;Ensino Médio (Incompleto);1
CAARAPÓ;EE PROF.ª CLEUZA APARECIDA VARGAS GALHARDO;Estudantes;2018;Você se considera;Preto;22
PARANAÍBA;EE JOSÉ GARCIA LEAL;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Faxineira;2
AQUIDAUANA;EE CÂNDIDO MARIANO;Estudantes;2018;Estuda nesta escola;De 6 a 8 anos;12
MARACAJU;EE PADRE CONSTANTINO DE MONTE;Estudantes;2018;Sexo;Masculino;18
ANASTÁCIO;EE DEP. CARLOS SOUZA MEDEIROS;Professores;2018;Pós-Graduação;Especialização;26
CORUMBÁ;EE CARLOS DE CASTRO BRASIL;Secretários Escolares;2018;Exerce esta função;Há mais de 6 anos;1
CORUMBÁ;EE INDÍGENA JOÃO QUIRINO DE CARVALHO - TOGHOPANÃA;Pais ou Responsáveis;2018;Idade;41 a 45 anos;2
LADÁRIO;EE 2 DE SETEMBRO;Avaliadores externos;2018;Licenciatura;Ciências Biológicas;1
DOURADOS;EE ANTÔNIA DA SILVEIRA CAPILÉ;Diretores Adjuntos;2018;Graduação;Licenciatura;1
RIO BRILHANTE;EE FERNANDO CORRÊA DA COSTA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Professora;1
ANASTÁCIO;EE DEP. CARLOS SOUZA MEDEIROS;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;comerciário;3
IGUATEMI;EE 8 DE MAIO;Professores;2018;Graduação;Bacharelado;4
AQUIDAUANA;EE CEL. JOSÉ ALVES RIBEIRO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Supervisor;1
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;Pais ou Responsáveis;2018;Grau de parentesco com o estudante pelo qual você é responsável;Filho(a);61
CAMPO GRANDE;EE OLINDA CONCEIÇÃO TEIXEIRA BACHA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;servços gerais;1
TRÊS LAGOAS;EE JOSÉ FERREIRA;Professores;2018;Licenciatura;História;3
AQUIDAUANA;EE GERALDO AFONSO GARCIA FERREIRA;Coordenadores Pedagógicos;2018;Licenciatura;Letras;1
ANASTÁCIO;EE ROBERTO SCAFF;Professores;2018;Licenciatura;Química;1
DOURADOS;EE PRES. TANCREDO NEVES;Coordenadores Pedagógicos;2018;Exerce esta função;Há mais de 6 anos;5
CAMPO GRANDE;EE PADRE FRANCO DELPIANO;Professores;2018;Licenciatura;Letras;3
DOURADOS;EE MARIA DA GLÓRIA MUZZI FERREIRA;Pais ou Responsáveis;2018;Sexo;Masculino;57
ANGÉLICA;EE SENADOR FILINTO MULLER;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;comerciante;3
FÁTIMA DO SUL;EE SENADOR FILINTO MULLER;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;manicure;1
AQUIDAUANA;EE INDÍGENA DE EM PROF. DOMINGOS VERÍSSIMO MARCOS - MÍHIN;Avaliadores externos;2018;Sexo;Masculino;1
AQUIDAUANA;EE CÂNDIDO MARIANO;Professores;2018;Idade;31 a 35 anos;8
CAMPO GRANDE;EE JOAQUIM MURTINHO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;motorita;1
MARACAJU;EE MANOEL FERREIRA DE LIMA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Secretaria;3
CASSILÂNDIA;EE HERMELINA BARBOSA LEAL;Diretores Adjuntos;2018;Formação;Ensino Superior;1
CAMPO GRANDE;EE LINO VILLACHA;Pais ou Responsáveis;2018;Sexo;Masculino;68
SÃO GABRIEL DO OESTE;EE SÃO GABRIEL;Coordenadores Técnicos;2018;Você se considera;Branco;2
IVINHEMA;EE REYNALDO MASSI;Estudantes;2018;Ano escolar;3º ano do Ensino Médio;62
CAMPO GRANDE;EE GENERAL MALAN;Pais ou Responsáveis;2018;Sexo;Feminino;77
CAMPO GRANDE;EE PROFª. ÉLIA FRANÇA CARDOSO;Professores;2018;Pós-Graduação;Não possui;9
DOURADOS;EE PROFª FLORIANA LOPES;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;aposentado;1
MARACAJU;EE MANOEL FERREIRA DE LIMA;Professores;2018;Idade;25 a 30 anos;9
CAMPO GRANDE;EE PROF. HENRIQUE CIRYLLO CORREA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;autonomo;1
NAVIRAÍ;EE JURACY ALVES CARDOSO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Motorista Canavieiro;1
SIDROLÂNDIA;EE PROFESSORA CATARINA DE ABREU;Avaliadores externos;2018;Formação;Ensino Superior;1
ITAPORÃ;EE RODRIGUES ALVES;Pais ou Responsáveis;2018;Formação;Ensino Superior;16
PEDRO GOMES;EE FRANCISCO RIBEIRO SOARES;Avaliadores externos;2018;Licenciatura;Pedagogia;1
CAMPO GRANDE;EE 26 DE AGOSTO;Coordenadores Pedagógicos;2018;Licenciatura;História;1
FÁTIMA DO SUL;EE VILA BRASIL;Estudantes;2018;Idade;16 a 20 anos;16
CHAPADÃO DO SUL;EE JORGE AMADO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Caminhoneiro;1
TRÊS LAGOAS;EE PROFESSOR JOÃO MAGIANO PINTO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;escriva do SIG;1
BONITO;EE BONIFÁCIO CAMARGO GOMES;Coordenadores Pedagógicos;2018;Licenciatura;Letras;2
CORUMBÁ;EE ROTARY CLUB;Pais ou Responsáveis;2018;Tempo que disponibiliza por dia para estudar com o estudante pelo qual você é responsável;De 1 a 2 horas;71
ANASTÁCIO;EE DEP. CARLOS SOUZA MEDEIROS;Funcionários Administrativos;2018;Exerce esta função;Há mais de 6 anos;11
CAMPO GRANDE;EE PROFª. ÉLIA FRANÇA CARDOSO;Avaliadores externos;2018;Sexo;Feminino;1
AQUIDAUANA;EE INDÍGENA DE EM PASTOR REGINALDO MIGUEL - HOYENÓ O;Professores;2018;Exerce esta função;De 4 a 6 anos;4
IVINHEMA;EE SENADOR FILINTO MULLER;Pais ou Responsáveis;2018;Tempo que o estudante pelo qual você é responsável  estuda nesta escola;De 1 a 2 anos;20
CAMPO GRANDE;EE LINO VILLACHA;Funcionários Administrativos;2018;Você se considera;Pardo;8
AQUIDAUANA;EE INDÍGENA DE EM PASCOAL LEITE DIAS;Professores;2018;Licenciatura;Letras;4
NIOAQUE;EE INDÍGENA DE ENSINO MÉDIO ANGELINA VICENTE;Diretores;2018;Licenciatura;Pedagogia;1
ITAPORÃ;EE RODRIGUES ALVES;Diretores Adjuntos;2018;Sexo;Feminino;1
GLÓRIA DE DOURADOS;EE HILDA BERGO DUARTE;Secretários Escolares;2018;Idade;41 a 45 anos;1
VICENTINA;EE PADRE JOSÉ DANIEL;Estudantes;2018;Você se considera;Preto;11
CAMPO GRANDE;EE JOAQUIM MURTINHO;Estudantes;2018;Você se considera;Amarelo;14
ANGÉLICA;EE SENADOR FILINTO MULLER;Estudantes;2018;Estuda nesta escola;Há menos de um ano;19
DOURADOS;EE PASTOR DANIEL BERG;Coordenadores Pedagógicos;2018;Pós-Graduação;Doutorado;1
DOURADOS;EE PROF. CELSO MULLER DO AMARAL;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;COZINHEIRA;3
TRÊS LAGOAS;EE AFONSO PENA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;vendedora de carro;1
TRÊS LAGOAS;EE JOÃO PONCE DE ARRUDA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;aux limpeza;1
IGUATEMI;EE PAULO FREIRE;Funcionários Administrativos;2018;Formação;Ensino Médio;3
CAMPO GRANDE;EE PROFª BRASILINA FERRAZ MANTERO;Funcionários Administrativos;2018;Sexo;Masculino;4
CAMPO GRANDE;EE PROF. SEVERINO DE QUEIROZ;Professores;2018;Licenciatura;Ciências Biológicas;2
MARACAJU;EE CORONEL LIMA DE FIGUEIREDO;Professores;2018;Idade;31 a 35 anos;3
IVINHEMA;EE ANGELINA JAIME TEBET;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;sim;3
CAMPO GRANDE;EE DOLOR FERREIRA DE ANDRADE;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;mecânico;1
ANASTÁCIO;EE MARIA CORRÊA DIAS;Professores;2018;Licenciatura;Química;1
SELVÍRIA;EE ANA MARIA DE SOUZA;Funcionários Administrativos;2018;Informe qual função exerce nessa unidade escolar;Agente de inspeção de estudantes;1
FÁTIMA DO SUL;EE VILA BRASIL;Diretores;2018;Idade;41 a 45 anos;1
NOVA ANDRADINA;EE PROFESSORA FÁTIMA GAIOTTO SAMPAIO;Diretores Adjuntos;2018;Graduação;Licenciatura;1
DOIS IRMÃOS DO BURITI;EE ESTEFANA CENTURION GAMBARRA;Diretores Adjuntos;2018;Graduação;Licenciatura;1
ANASTÁCIO;EE MARIA CORRÊA DIAS;Estudantes;2018;Você se considera;Preto;27
NOVA ANDRADINA;EEPROFª NAIR PALÁCIO DE SOUZA;Avaliadores externos;2018;Informe sua regional;CRE-09 - Nova Andradina;1
ANGÉLICA;EE DR. JOSÉ MANOEL FONTANILLAS FRAGELLI;Estudantes;2018;Ano escolar;EJA - Ensino Fundamental;1
DOURADOS;EE RITA ANGELINA BARBOSA SILVEIRA;Estudantes;2018;Ano escolar;2º ano do Ensino Médio;30
CORUMBÁ;EE DR. JOÃO LEITE DE BARROS;Estudantes;2018;Estuda nesta escola;Há menos de um ano;100
BRASILÂNDIA;EE ADILSON ALVES DA SILVA;Coordenadores Pedagógicos;2018;Trabalha nesta escola;De 4 a 6 anos;1
PONTA PORÃ;EE DR MIGUEL MARCONDES ARMANDO;Pais ou Responsáveis;2018;Formação;Ensino Fundamental (Incompleto);63
AQUIDAUANA;EE CÂNDIDO MARIANO;Coordenadores Pedagógicos;2018;Formação;Ensino Superior;1
IVINHEMA;EE ANGELINA JAIME TEBET;Professores;2018;Pós-Graduação;Mestrado (Incompleto);2
TERENOS;EE ANTÔNIO NOGUEIRA DA FONSECA;Coordenadores Pedagógicos;2018;Licenciatura;Normal Superior;1
RIO VERDE DE MATO GROSSO;EE THOMAZ BARBOSA RANGEL;Coordenadores Pedagógicos;2018;Pós-Graduação;Especialização (Incompleto);1
CAMPO GRANDE;EE JOSÉ ANTONIO PEREIRA;Professores;2018;Idade;31 a 35 anos;5
CAMPO GRANDE;EE ARLINDO DE ANDRADE GOMES;Coordenadores Técnicos;2018;Exerce esta função;Há menos de um ano;1
CORUMBÁ;EE OCTACÍLIO FAUSTINO DA SILVA;Funcionários Administrativos;2018;Informe qual função exerce nessa unidade escolar;Agente de inspeção de estudantes;1
ANGÉLICA;EE DR. JOSÉ MANOEL FONTANILLAS FRAGELLI;Pais ou Responsáveis;2018;Tempo que o estudante pelo qual você é responsável  estuda nesta escola;De 4 a 6 anos;21
CAARAPÓ;EE ARCÊNIO ROJAS;Pais ou Responsáveis;2018;Você se considera;Branco;41
CAMPO GRANDE;EE PÓLO PROFª. REGINA LÚCIA ANFFE NUNES BETINE;Funcionários Administrativos;2018;Exerce esta função;Há mais de 6 anos;3
NAVIRAÍ;EE ANTONIO FERNANDES;Diretores;2018;Licenciatura;Educação Física;1
COSTA RICA;EE JOSÉ FERREIRA DA COSTA;Coordenadores Pedagógicos;2018;Idade;36 a 40 anos;3
CAMPO GRANDE;EE ARLINDO DE ANDRADE GOMES;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;secretario;1
CAMPO GRANDE;EE PROFª. CLARINDA MENDES DE AQUINO;Professores;2018;Informe o bacharelado;Química;2
APARECIDA DO TABOADO;EE GEORGINA DE OLIVEIRA ROCHA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;pensionista;1
TERENOS;EE ANTÔNIO NOGUEIRA DA FONSECA;Coordenadores Pedagógicos;2018;Sexo;Feminino;2
DOURADOS;EE PASTOR DANIEL BERG;Pais ou Responsáveis;2018;Idade;Menos de 25 anos;13
NIOAQUE;EE UIRAPURU;Estudantes;2018;Possui computador em casa;Não;25
AQUIDAUANA;EE GERALDO AFONSO GARCIA FERREIRA;Professores;2018;Você se considera;Amarelo;1
DOURADOS;EE MIN. JOÃO PAULO DOS REIS VELOSO;Diretores Adjuntos;2018;Idade;41 a 45 anos;1
CAARAPÓ;EE PROF.ª CLEUZA APARECIDA VARGAS GALHARDO;Estudantes;2018;Sexo;Masculino;82
TRÊS LAGOAS;EE AFONSO PENA;Pais ou Responsáveis;2018;Exerce alguma atividade remunerada;Não;81
ÁGUA CLARA;EE CHICO MENDES;Coordenadores Pedagógicos;2018;Trabalha nesta escola;De 1 a 3 anos;1
BRASILÂNDIA;EE ADILSON ALVES DA SILVA;Pais ou Responsáveis;2018;Grau de parentesco com o estudante pelo qual você é responsável;Sobrinho(a);3
CAMPO GRANDE;EE OLINDA CONCEIÇÃO TEIXEIRA BACHA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;manicure;3
CAMPO GRANDE;EE PADRE FRANCO DELPIANO;Pais ou Responsáveis;2018;Idade;25 a 30 anos;13
CORUMBÁ;EE OCTACÍLIO FAUSTINO DA SILVA;Diretores;2018;Sexo;Masculino;1
DOURADOS;EE RAMONA DA SILVA PEDROSO;Estudantes;2018;Idade;11 a 15 anos;78
NOVA ALVORADA DO SUL;EE ANTONIO COELHO;Pais ou Responsáveis;2018;Você se considera;Preto;13
CAMPO GRANDE;EE PROF. OTAVIANO GONÇALVES DA SILVEIRA JUNIOR;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Serviços Gerais;2
CAMPO GRANDE;EE MAESTRO FREDERICO LIEBERMANN;Funcionários Administrativos;2018;Exerce esta função;De 4 a 6 anos;3
CAMPO GRANDE;EE VESPASIANO MARTINS;Pais ou Responsáveis;2018;Grau de parentesco com o estudante pelo qual você é responsável;Neto(a);13
ANASTÁCIO;EE INDÍGENA GUILHERMINA DA SILVA;Professores;2018;Pós-Graduação;Especialização;11
CAMPO GRANDE;EE ANTÔNIO DELFINO PEREIRA;Pais ou Responsáveis;2018;Formação;Ensino Fundamental;7
PONTA PORÃ;EE MENDES GONÇALVES;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Mecanico;4
DOURADOS;EE PROFª FLORIANA LOPES;Avaliadores externos;2018;Formação;Ensino Superior;1
NOVA ANDRADINA;EE AUSTRILIO CAPILÉ CASTRO;Funcionários Administrativos;2018;Idade;46 a 50 anos;2
RIO BRILHANTE;EE FERNANDO CORRÊA DA COSTA;Professores;2018;Exerce esta função;De 4 a 6 anos;5
CAMPO GRANDE;EE ANTÔNIO DELFINO PEREIRA;Funcionários Administrativos;2018;Formação;Especialização;1
PARANAÍBA;EE JOSÉ GARCIA LEAL;Pais ou Responsáveis;2018;Grau de parentesco com o estudante pelo qual você é responsável;Filho(a);206
CAMPO GRANDE;EE ZAMENHOF;Estudantes;2018;Ano escolar;9º ano do Ensino Fundamental;22
